iter	RMSE
0	0.9043302483
1	0.8981229569
2	0.8920409139
3	0.8857022525
4	0.8796287156
5	0.8736229115
6	0.8676946353
7	0.8617734185
8	0.8557580364
9	0.8500990214
10	0.8442604517
11	0.8384790956
12	0.8337126649
13	0.828198199
14	0.8226649866
15	0.8175132691
16	0.8119381893
17	0.8065566696
18	0.8011011824
19	0.7960711043
20	0.7910755258
21	0.7858377927
22	0.7805924131
23	0.7760405761
24	0.7711146821
25	0.7661021322
26	0.7611767539
27	0.7564196442
28	0.7516779582
29	0.7468244287
30	0.7426076707
31	0.7381366589
32	0.7338963801
33	0.729727168
34	0.7252554066
35	0.720776033
36	0.7164068187
37	0.7122800412
38	0.7080512849
39	0.7039798082
40	0.6999043863
41	0.6956692932
42	0.6916805571
43	0.6879255988
44	0.6838624612
45	0.6802024745
46	0.6764279392
47	0.6727238451
48	0.6692824569
49	0.6656223269
50	0.6624705622
51	0.6587356598
52	0.6551666856
53	0.6516836958
54	0.6480226384
55	0.6445763678
56	0.6413055163
57	0.6382194633
58	0.6348899797
59	0.6316341353
60	0.6282879316
61	0.6249582109
62	0.6219112355
63	0.6191542421
64	0.6162366407
65	0.6130665502
66	0.6100463294
67	0.606907634
68	0.6038527752
69	0.6009890453
70	0.5980568416
71	0.5952449725
72	0.5923397967
73	0.5894473997
74	0.5869259129
75	0.5843757713
76	0.5816084537
77	0.5788878131
78	0.5760139767
79	0.5732811364
80	0.5707089355
81	0.5684829432
82	0.5659330656
83	0.5633213743
84	0.5608871288
85	0.5584102831
86	0.55595958
87	0.5534736538
88	0.5510912815
89	0.5486408109
90	0.546281642
91	0.543942673
92	0.5414956801
93	0.539246334
94	0.5368494862
95	0.5345577777
96	0.5321989507
97	0.52996136
98	0.5278771932
99	0.5258817355
100	0.5241376884
101	0.5222143257
102	0.5205600215
103	0.5187479817
104	0.5167474978
105	0.5150989902
106	0.5131386799
107	0.5113648438
108	0.5096605868
109	0.5078116045
110	0.5061049254
111	0.5044309233
112	0.5027263335
113	0.5008899868
114	0.4991600453
115	0.4974352642
116	0.4957668861
117	0.4940617374
118	0.4924534209
119	0.4911308847
120	0.4895664959
121	0.488205265
122	0.4867884495
123	0.4850813148
124	0.4835177082
125	0.4818743116
126	0.4803542502
127	0.479117356
128	0.4777082868
129	0.4761882918
130	0.4746934616
131	0.4734301004
132	0.4721433724
133	0.4710492175
134	0.4697701417
135	0.4685594377
136	0.4671489464
137	0.4659346117
138	0.4647306569
139	0.4634249372
140	0.4621773463
141	0.4609510449
142	0.4597174864
143	0.4586429383
144	0.4574901196
145	0.4564591873
146	0.4553901023
147	0.4540957691
148	0.4528711131
149	0.4519232351
150	0.4508558661
151	0.4498068
152	0.4486730873
153	0.4475749411
154	0.4465616088
155	0.4455203423
156	0.4443422135
157	0.4433051607
158	0.4422874153
159	0.4413611008
160	0.4405126587
161	0.4395754426
162	0.4388287913
163	0.4378728018
164	0.4369412374
165	0.4360218613
166	0.435110426
167	0.4343117082
168	0.4334480179
169	0.4325849247
170	0.4317649816
171	0.4309516803
172	0.43000258
173	0.429160551
174	0.4284162218
175	0.4275505374
176	0.4267954344
177	0.4261754879
178	0.4253778854
179	0.4246625003
180	0.4239146711
181	0.4233274774
182	0.4225741996
183	0.4218080532
184	0.4210543768
185	0.4204461804
186	0.4196573716
187	0.4189002061
188	0.418135963
189	0.4175157005
190	0.4167359235
191	0.4160108019
192	0.4153005277
193	0.4146808223
194	0.4139403716
195	0.413341741
196	0.4127330505
197	0.4121176459
198	0.4115309499
199	0.4109767971
200	0.4102818155
201	0.4096604824
202	0.4090127755
203	0.4084478012
204	0.4079378999
205	0.4073445187
206	0.4067027119
207	0.4060844573
208	0.4055847437
209	0.405093798
210	0.4045363362
211	0.4039467597
212	0.403483947
213	0.4030837242
214	0.402479104
215	0.4019334152
216	0.4014534491
217	0.4009428391
218	0.4004640271
219	0.3999841321
220	0.3995716737
221	0.3992150631
222	0.3987936033
223	0.3983677882
224	0.3979003655
225	0.3975763347
226	0.3971946535
227	0.3967944494
228	0.3964135912
229	0.3960196062
230	0.3956342344
231	0.3952390726
232	0.3948066711
233	0.3943874417
234	0.394012256
235	0.3936577363
236	0.3933024809
237	0.3929526731
238	0.3926055987
239	0.3922305511
240	0.3918865218
241	0.3915423956
242	0.3911031324
243	0.3907481608
244	0.3904329161
245	0.390122307
246	0.3898474543
247	0.3895343216
248	0.3892112085
249	0.3888691368
250	0.388517727
251	0.3881685548
252	0.3878641908
253	0.3875773824
254	0.3873833785
255	0.3871264817
256	0.3867284661
257	0.3864905791
258	0.386116737
259	0.3857664304
260	0.3854525252
261	0.3851591768
262	0.3848881457
263	0.3846642917
264	0.3844420195
265	0.3841731583
266	0.3838850572
267	0.3836151413
268	0.3833585434
269	0.383144009
270	0.3828774459
271	0.3825390094
272	0.3822538675
273	0.3820989755
274	0.3818817295
275	0.3816577222
276	0.3814352824
277	0.3811918471
278	0.38095003
279	0.3807651862
280	0.3806105021
281	0.380398053
282	0.3801724888
283	0.3799968978
284	0.3798296052
285	0.3796144063
286	0.3793135894
287	0.3790320828
288	0.3788347643
289	0.3786513924
290	0.3783346205
291	0.3781788979
292	0.3779521502
293	0.3777830936
294	0.3775903592
295	0.3774135769
296	0.3771960139
297	0.3770205748
298	0.3768421959
299	0.3766618924
300	0.3764619383
301	0.3762616221
302	0.3760592156
303	0.3758392228
304	0.3756419795
305	0.3755610728
306	0.3753983562
307	0.3752080521
308	0.3749877063
309	0.3747964344
310	0.3746964482
311	0.374526301
312	0.3744021291
313	0.3742011022
314	0.3740315359
315	0.3738869557
316	0.3737883924
317	0.3736436933
318	0.3735589432
319	0.373400746
320	0.3732246724
321	0.3730745998
322	0.3728955125
323	0.3726592872
324	0.3725210833
325	0.3723712387
326	0.372193056
327	0.3720100681
328	0.37179694
329	0.3716410592
330	0.3714832958
331	0.3713257603
332	0.3711703304
333	0.3710629665
334	0.3708156114
335	0.3707046498
336	0.3705221283
337	0.3703996249
338	0.3702075699
339	0.3701102261
340	0.3699861545
341	0.3697324126
342	0.3696012805
343	0.3695034227
344	0.3694249749
345	0.3693296091
346	0.369112108
347	0.3690004295
348	0.3688944237
349	0.3687864747
350	0.3686663917
351	0.3685725027
352	0.3684267146
353	0.3683452812
354	0.3682523699
355	0.368147365
356	0.3680336338
357	0.3679514206
358	0.3677904637
359	0.3677025727
360	0.3675871998
361	0.3674777657
362	0.3673759183
363	0.367268755
364	0.3671550724
365	0.3670527119
366	0.366976585
367	0.3668418095
368	0.3667312911
369	0.366617147
370	0.3664840609
371	0.3663509184
372	0.3662648402
373	0.3661034296
374	0.3660546373
375	0.3659622577
376	0.3658525419
377	0.3657686098
378	0.3656708806
379	0.3655786058
380	0.3654934689
381	0.3654040647
382	0.3652746029
383	0.3651577049
384	0.3650508558
385	0.3649618496
386	0.364833656
387	0.3647421319
388	0.3645734188
389	0.3644511292
390	0.3642991267
391	0.3641967758
392	0.3641100299
393	0.3639871362
394	0.3638160959
395	0.3637146732
396	0.3636349479
397	0.3635092403
398	0.3633922562
399	0.3632277069
400	0.3631672239
401	0.3631095547
402	0.3630445083
403	0.3629185824
404	0.3628397383
405	0.362788334
406	0.3626803846
407	0.3625598155
408	0.3625081951
409	0.362418466
410	0.3623033516
411	0.3622032698
412	0.3620907482
413	0.3619931522
414	0.3618878133
415	0.3617985432
416	0.3616877577
417	0.3616066307
418	0.3614725141
419	0.3613891978
420	0.3612918385
421	0.3612002554
422	0.3611144927
423	0.3610413684
424	0.3609980335
425	0.3609045778
426	0.3608348628
427	0.3607574768
428	0.3607005965
429	0.360627099
430	0.3605421131
431	0.3604683716
432	0.3603947404
433	0.3602977378
434	0.3602233325
435	0.3601689743
436	0.3600908245
437	0.3600426648
438	0.3598729338
439	0.3598573393
440	0.3597801602
441	0.3596877081
442	0.3596031775
443	0.3595199068
444	0.3594648155
445	0.3593355002
446	0.3592814277
447	0.3592406289
448	0.3591679315
449	0.3590741395
450	0.3589723014
451	0.3589247656
452	0.3587951396
453	0.3587324714
454	0.3586675658
455	0.3585941034
456	0.3585150728
457	0.358441225
458	0.3582594763
459	0.3581856686
460	0.3581323134
461	0.3579932046
462	0.3579405014
463	0.3578638469
464	0.357802909
465	0.3577125708
466	0.3575636661
467	0.3575025743
468	0.3574390927
469	0.3573659453
470	0.3572778234
471	0.357226513
472	0.3571701341
473	0.3570283651
474	0.3569919219
475	0.3569335276
476	0.3568650342
477	0.3568126669
478	0.3567444338
479	0.3566698363
480	0.356618839
481	0.3565497013
482	0.356490323
483	0.3564288515
484	0.356348556
485	0.3562875476
486	0.3562210477
487	0.3561538117
488	0.3560818431
489	0.3560178973
490	0.3559682074
491	0.3559007494
492	0.3558561894
493	0.3557842544
494	0.3557528277
495	0.3557147454
496	0.3556637008
497	0.3555709903
498	0.3555047854
499	0.3554334086
500	0.3553931479
501	0.3552979795
502	0.3552438472
503	0.3551686745
504	0.3551279187
505	0.3550632534
506	0.3550226416
507	0.3549110289
508	0.3548609411
509	0.3548027516
510	0.3547591362
511	0.3546496323
512	0.3545483186
513	0.3544754708
514	0.3544078017
515	0.3543781327
516	0.3543131896
517	0.3542564495
518	0.3541604886
519	0.3541168622
520	0.3540862745
521	0.3540401623
522	0.353896338
523	0.3538579297
524	0.3538195202
525	0.3537454343
526	0.3536744641
527	0.3535620551
528	0.3535086197
529	0.3534623965
530	0.3534078754
531	0.3533651889
532	0.3533328897
533	0.3533032908
534	0.353276394
535	0.353246166
536	0.353206198
537	0.3531563259
538	0.3530297674
539	0.3529463256
540	0.3528779811
541	0.3528564639
542	0.3528277356
543	0.3526926707
544	0.3526263187
545	0.3525200936
546	0.3524460093
547	0.3524069298
548	0.3523806304
549	0.3523532061
550	0.3523074633
551	0.3522550203
552	0.3522289328
553	0.3521886382
554	0.3521129551
555	0.3520766948
556	0.3520458546
557	0.3519458139
558	0.3519189584
559	0.351861269
560	0.3517849916
561	0.3517565511
562	0.3517113356
563	0.3516578405
564	0.3516239772
565	0.3514618178
566	0.351427873
567	0.3513776999
568	0.3513378155
569	0.3513032434
570	0.3512524548
571	0.3512327665
572	0.3511894891
573	0.3511359116
574	0.3510818764
575	0.3510414455
576	0.3510142674
577	0.3509662186
578	0.3509251911
579	0.3508758234
580	0.3507511895
581	0.350704714
582	0.3506694839
583	0.3506392757
584	0.3506062647
585	0.3505382843
586	0.3504993691
587	0.350406167
588	0.350361012
589	0.3503341729
590	0.3502557503
591	0.3502451854
592	0.350197899
593	0.3501656738
594	0.3501138947
595	0.3500792034
596	0.3500395831
597	0.3500114597
598	0.3499603633
599	0.3498961181
600	0.3498611343
601	0.3498187578
602	0.3497698775
603	0.3496210946
604	0.3495882793
605	0.349541738
606	0.3494805639
607	0.3494297508
608	0.3493811817
609	0.3493356546
610	0.3493104306
611	0.3492733016
612	0.3492270619
613	0.3491629016
614	0.3490440878
615	0.3489875357
616	0.3489533211
617	0.3488797276
618	0.3488367723
619	0.3487802533
620	0.3487464296
621	0.3487223954
622	0.3486491816
623	0.3485610576
624	0.3484840515
625	0.3484552992
626	0.3484240076
627	0.3483967952
628	0.3483572377
629	0.3483203893
630	0.3482611457
631	0.3482127596
632	0.3481740851
633	0.3481129409
634	0.3480756972
635	0.3479844534
636	0.3479440775
637	0.3479092515
638	0.3478636005
639	0.3478339514
640	0.3477940243
641	0.3477517834
642	0.3476439979
643	0.3476225102
644	0.3475635126
645	0.3475270213
646	0.3474077627
647	0.3473763898
648	0.3473099834
649	0.3472328844
650	0.3471866169
651	0.3471402433
652	0.3470765842
653	0.3470342192
654	0.3469909859
655	0.346953411
656	0.3469043988
657	0.3468531543
658	0.3468322887
659	0.3467956839
660	0.3467750372
661	0.3467434433
662	0.3467241999
663	0.3466644394
664	0.3466377891
665	0.3466157487
666	0.3465785546
667	0.3465364477
668	0.3464678588
669	0.3464464081
670	0.3463959876
671	0.3463694716
672	0.3463092129
673	0.3462446896
674	0.3461981908
675	0.346085917
676	0.3460622654
677	0.346029557
678	0.3460049568
679	0.345964161
680	0.345933531
681	0.3458724255
682	0.3458362739
683	0.3458024639
684	0.3457836028
685	0.3457445398
686	0.3456884406
687	0.3456483028
688	0.3456172838
689	0.345551109
690	0.3455349465
691	0.3454886463
692	0.345464566
693	0.3454449935
694	0.3453949741
695	0.3453670861
696	0.345331671
697	0.3452724273
698	0.3451719605
699	0.3451194667
700	0.3450699282
701	0.3450453157
702	0.344960357
703	0.3449022519
704	0.3448782811
705	0.3448604032
706	0.3448173392
707	0.3447949291
708	0.3447649207
709	0.3447437945
710	0.344696069
711	0.3446686753
712	0.3446290688
713	0.3446003904
714	0.3445720017
715	0.3445078225
716	0.3444323337
717	0.3443749059
718	0.3443331387
719	0.3442374554
720	0.3441653669
721	0.3441238918
722	0.3440621599
723	0.3440001822
