iter	Passed	Remaining
0	56	56575
1	56	28373
2	57	18967
3	57	14264
4	57	11440
5	57	9558
6	57	8216
7	58	7207
8	58	6422
9	58	5801
10	58	5288
11	59	4861
12	59	4498
13	59	4187
14	59	3918
15	59	3682
16	60	3478
17	60	3295
18	60	3129
19	60	2981
20	61	2847
21	61	2723
22	61	2611
23	61	2508
24	61	2414
25	62	2326
26	62	2248
27	62	2173
28	62	2103
29	63	2037
30	63	1974
31	63	1917
32	63	1867
33	63	1817
34	64	1769
35	64	1724
36	64	1681
37	64	1641
38	65	1602
39	65	1567
40	65	1531
41	65	1498
42	65	1466
43	66	1435
44	66	1407
45	66	1380
46	66	1354
47	66	1328
48	67	1303
49	67	1280
50	67	1257
51	67	1235
52	67	1214
53	68	1194
54	68	1177
55	68	1159
56	68	1141
57	69	1123
58	69	1107
59	69	1090
60	69	1075
61	70	1060
62	70	1045
63	70	1031
64	70	1017
65	70	1004
66	71	991
67	71	979
68	71	966
69	71	954
70	72	942
71	72	930
72	72	919
73	72	908
74	72	897
75	72	887
76	73	877
77	73	867
78	73	857
79	73	848
80	73	839
81	74	829
82	74	821
83	74	812
84	74	804
85	74	796
86	75	788
87	75	780
88	75	772
89	75	765
90	75	757
91	76	751
92	76	743
93	76	736
94	76	730
95	76	723
96	77	717
97	77	710
98	77	704
99	77	698
100	77	692
101	78	686
102	78	680
103	78	675
104	78	670
105	78	664
106	79	659
107	79	654
108	79	650
109	79	645
110	79	640
111	80	635
112	80	630
113	80	625
114	80	621
115	80	616
116	81	612
117	81	607
118	81	603
119	81	599
120	81	594
121	82	590
122	82	587
123	82	583
124	82	579
125	82	575
126	83	571
127	83	567
128	83	563
129	83	559
130	83	556
131	84	552
132	84	549
133	84	545
134	84	542
135	84	538
136	85	535
137	85	532
138	85	530
139	85	527
140	86	524
141	86	521
142	86	518
143	86	515
144	86	512
145	87	508
146	87	506
147	87	503
148	87	500
149	87	498
150	88	495
151	88	492
152	88	489
153	88	487
154	88	484
155	89	481
156	89	479
157	89	476
158	89	473
159	89	471
160	89	468
161	90	466
162	90	464
163	90	461
164	90	459
165	90	456
166	91	454
167	91	452
168	91	449
169	91	447
170	91	445
171	92	443
172	92	440
173	92	438
174	92	436
175	92	434
176	92	432
177	93	430
178	93	428
179	93	426
180	93	424
181	94	422
182	94	420
183	94	418
184	94	416
185	94	415
186	95	413
187	95	411
188	95	409
189	95	407
190	95	406
191	96	404
192	96	402
193	96	400
194	96	399
195	96	397
196	97	395
197	97	394
198	97	392
199	97	390
200	97	388
201	97	387
202	98	385
203	98	383
204	98	382
205	98	380
206	98	378
207	99	377
208	99	375
209	99	374
210	99	372
211	99	371
212	100	369
213	100	368
214	100	366
215	100	365
216	100	364
217	101	362
218	101	361
219	101	359
220	101	358
221	101	357
222	102	355
223	102	354
224	102	353
225	102	351
226	102	350
227	103	348
228	103	347
229	103	346
230	103	344
231	103	343
232	103	342
233	104	340
234	104	339
235	104	338
236	104	337
237	104	335
238	105	334
239	105	333
240	105	332
241	105	331
242	106	330
243	106	329
244	106	327
245	106	326
246	106	325
247	107	324
248	107	323
249	107	322
250	107	321
251	107	320
252	108	319
253	108	318
254	108	316
255	108	315
256	108	314
257	109	313
258	109	312
259	109	311
260	109	310
261	109	309
262	110	308
263	110	307
264	110	307
265	110	306
266	111	305
267	111	304
268	111	303
269	111	302
270	111	301
271	112	300
272	112	299
273	112	298
274	112	297
275	112	296
276	113	295
277	113	294
278	113	293
279	113	291
280	113	291
281	113	290
282	114	289
283	114	288
284	114	287
285	114	286
286	115	285
287	115	284
288	115	283
289	115	282
290	115	281
291	115	281
292	116	280
293	116	279
294	116	278
295	116	277
296	116	276
297	117	275
298	117	274
299	117	274
300	117	273
301	117	272
302	118	271
303	118	270
304	118	269
305	118	268
306	118	268
307	118	267
308	119	266
309	119	265
310	119	264
311	119	263
312	119	263
313	120	262
314	120	261
315	120	260
316	120	260
317	120	259
318	121	258
319	121	257
320	121	256
321	121	256
322	121	255
323	122	254
324	122	254
325	122	253
326	122	252
327	122	251
328	123	250
329	123	250
330	123	249
331	123	248
332	123	247
333	123	247
334	124	246
335	124	245
336	124	245
337	124	244
338	125	243
339	125	243
340	125	242
341	125	241
342	125	241
343	126	240
344	126	239
345	126	238
346	126	238
347	126	237
348	127	237
349	127	236
350	127	235
351	127	235
352	127	234
353	128	233
354	128	233
355	128	232
356	128	231
357	128	230
358	128	230
359	129	229
360	129	228
361	129	228
362	129	227
363	129	226
364	129	226
365	130	225
366	130	224
367	130	224
368	130	223
369	130	222
370	131	222
371	131	221
372	131	221
373	131	220
374	131	219
375	132	219
376	132	218
377	132	218
378	132	217
379	132	216
380	133	216
381	133	215
382	133	214
383	133	214
384	133	213
385	133	213
386	134	212
387	134	211
388	134	211
389	134	210
390	134	210
391	135	209
392	135	209
393	135	208
394	135	207
395	135	207
396	136	206
397	136	206
398	136	205
399	136	205
400	136	204
401	137	203
402	137	203
403	137	202
404	137	202
405	137	201
406	138	201
407	138	200
408	138	200
409	138	199
410	138	199
411	139	198
412	139	198
413	139	197
414	139	197
415	139	196
416	140	195
417	140	195
418	140	194
419	140	194
420	140	193
421	141	193
422	141	192
423	141	192
424	141	191
425	141	191
426	141	190
427	142	189
428	142	189
429	142	188
430	142	188
431	142	187
432	143	187
433	143	186
434	143	186
435	143	185
436	143	185
437	144	185
438	144	184
439	144	183
440	144	183
441	144	182
442	145	182
443	145	181
444	145	181
445	145	181
446	145	180
447	146	179
448	146	179
449	146	178
450	146	178
451	146	177
452	146	177
453	147	176
454	147	176
455	147	175
456	147	175
457	147	174
458	147	174
459	148	173
460	148	173
461	148	172
462	148	172
463	148	171
464	149	171
465	149	170
466	149	170
467	149	170
468	149	169
469	149	169
470	150	168
471	150	168
472	150	167
473	150	167
474	150	166
475	151	166
476	151	165
477	151	165
478	151	164
479	151	164
480	152	164
481	152	163
482	153	163
483	153	163
484	153	162
485	153	162
486	153	162
487	153	161
488	154	161
489	154	160
490	154	160
491	154	159
492	154	159
493	154	158
494	155	158
495	155	157
496	155	157
497	155	157
498	156	156
499	156	156
500	156	155
501	156	155
502	156	154
503	156	154
504	157	153
505	157	153
506	157	153
507	157	152
508	157	152
509	157	151
510	158	151
511	158	150
512	158	150
513	158	150
514	158	149
515	159	149
516	159	148
517	159	148
518	159	147
519	159	147
520	160	147
521	160	146
522	160	146
523	160	146
524	160	145
525	161	145
526	161	144
527	161	144
528	161	144
529	161	143
530	162	143
531	162	142
532	162	142
533	162	141
534	162	141
535	162	141
536	163	140
537	163	140
538	163	139
539	163	139
540	163	139
541	164	138
542	164	138
543	164	137
544	164	137
545	164	137
546	165	136
547	165	136
548	165	135
549	165	135
550	165	135
551	165	134
552	166	134
553	166	133
554	166	133
555	166	133
556	166	132
557	167	132
558	167	131
559	167	131
560	167	131
561	167	130
562	167	130
563	168	129
564	168	129
565	168	129
566	168	128
567	168	128
568	169	128
569	169	127
570	169	127
571	169	126
572	169	126
573	170	126
574	170	125
575	170	125
576	170	125
577	170	124
578	171	124
579	171	123
580	171	123
581	171	123
582	171	122
583	172	122
584	172	122
585	172	121
586	172	121
587	172	121
588	173	120
589	173	120
590	173	119
591	173	119
592	173	119
593	174	119
594	174	118
595	174	118
596	174	117
597	174	117
598	175	117
599	175	116
600	175	116
601	175	116
602	175	115
603	175	115
604	176	115
605	176	114
606	176	114
607	176	113
608	176	113
609	177	113
610	177	112
611	177	112
612	177	112
613	178	111
614	178	111
615	178	111
616	178	110
617	178	110
618	178	110
619	179	109
620	179	109
621	179	109
622	179	108
623	179	108
624	180	108
625	180	107
626	180	107
627	180	107
628	180	106
629	181	106
630	181	105
631	181	105
632	181	105
633	181	104
634	181	104
635	182	104
636	182	103
637	182	103
638	182	103
639	182	102
640	183	102
641	183	102
642	183	101
643	183	101
644	183	101
645	184	100
646	184	100
647	184	100
648	184	99
649	184	99
650	185	99
651	185	98
652	185	98
653	185	98
654	185	97
655	186	97
656	186	97
657	186	96
658	186	96
659	186	96
660	187	95
661	187	95
662	187	95
663	187	94
664	187	94
665	187	94
666	188	93
667	188	93
668	188	93
669	188	92
670	188	92
671	189	92
672	189	91
673	189	91
674	189	91
675	189	90
676	190	90
677	190	90
678	190	89
679	190	89
680	190	89
681	191	89
682	191	88
683	191	88
684	191	88
685	191	87
686	192	87
687	192	87
688	192	86
689	192	86
690	192	86
691	193	85
692	193	85
693	193	85
694	193	84
695	193	84
696	194	84
697	194	84
698	194	83
699	194	83
700	195	83
701	195	82
702	195	82
703	195	82
704	195	81
705	196	81
706	196	81
707	196	81
708	196	80
709	196	80
710	197	80
711	197	79
712	197	79
713	197	79
714	197	78
715	198	78
716	198	78
717	198	77
718	198	77
719	198	77
720	199	77
721	199	76
722	199	76
723	199	76
724	200	75
725	200	75
726	200	75
727	200	74
728	200	74
729	201	74
730	201	74
731	201	73
732	201	73
733	201	73
734	201	72
735	202	72
736	202	72
737	202	71
738	202	71
739	203	71
740	203	71
741	203	70
742	203	70
743	203	70
744	204	69
745	204	69
746	204	69
747	204	68
748	204	68
749	204	68
750	205	68
751	205	67
752	205	67
753	205	67
754	205	66
755	206	66
756	206	66
757	206	65
758	206	65
759	206	65
760	206	64
761	207	64
762	207	64
763	207	64
764	207	63
765	207	63
766	207	63
767	208	62
768	208	62
769	208	62
770	208	61
771	208	61
772	209	61
773	209	61
774	209	60
775	209	60
776	209	60
777	210	59
778	210	59
779	210	59
780	210	59
781	210	58
782	211	58
783	211	58
784	211	57
785	211	57
786	211	57
787	212	57
788	212	56
789	212	56
790	212	56
791	212	55
792	213	55
793	213	55
794	213	55
795	213	54
796	213	54
797	214	54
798	214	53
799	214	53
800	214	53
801	214	53
802	215	52
803	215	52
804	215	52
805	215	51
806	215	51
807	215	51
808	216	51
809	216	50
810	216	50
811	216	50
812	217	49
813	217	49
814	217	49
815	217	49
816	217	48
817	217	48
818	218	48
819	218	47
820	218	47
821	218	47
822	218	47
823	219	46
824	219	46
825	219	46
826	219	45
827	219	45
828	219	45
829	220	45
830	220	44
831	220	44
832	220	44
833	220	43
834	220	43
835	221	43
836	221	43
837	221	42
838	221	42
839	221	42
840	222	41
841	222	41
842	222	41
843	222	41
844	223	40
845	223	40
846	223	40
847	223	40
848	223	39
849	223	39
850	224	39
851	224	38
852	224	38
853	224	38
854	224	38
855	225	37
856	225	37
857	225	37
858	225	37
859	225	36
860	225	36
861	226	36
862	226	35
863	226	35
864	226	35
865	226	35
866	226	34
867	227	34
868	227	34
869	227	33
870	227	33
871	227	33
872	228	33
873	228	32
874	228	32
875	228	32
876	228	32
877	228	31
878	229	31
879	229	31
880	229	30
881	229	30
882	229	30
883	229	30
884	230	29
885	230	29
886	230	29
887	230	29
888	230	28
889	231	28
890	231	28
891	231	28
892	231	27
893	231	27
894	232	27
895	232	26
896	232	26
897	232	26
898	232	26
899	233	25
900	233	25
901	233	25
902	233	25
903	233	24
904	234	24
905	234	24
906	234	24
907	234	23
908	235	23
909	235	23
910	235	23
911	235	22
912	235	22
913	235	22
914	236	21
915	236	21
916	236	21
917	236	21
918	237	20
919	237	20
920	237	20
921	237	20
922	237	19
923	237	19
924	238	19
925	238	19
926	238	18
927	238	18
928	238	18
929	238	17
930	239	17
931	239	17
932	239	17
933	239	16
934	239	16
935	239	16
936	240	16
937	240	15
938	240	15
939	240	15
940	240	15
941	241	14
942	241	14
943	241	14
944	241	14
945	241	13
946	242	13
947	242	13
948	242	13
949	242	12
950	242	12
951	243	12
952	243	12
953	243	11
954	243	11
955	243	11
956	244	10
957	244	10
958	244	10
959	244	10
960	244	9
961	245	9
962	245	9
963	245	9
964	245	8
965	245	8
966	246	8
967	246	8
968	246	7
969	246	7
970	246	7
971	247	7
972	247	6
973	247	6
974	247	6
975	247	6
976	248	5
977	248	5
978	248	5
979	248	5
980	248	4
981	249	4
982	249	4
983	249	4
984	249	3
985	249	3
986	250	3
987	250	3
988	250	2
989	250	2
990	250	2
991	251	2
992	251	1
993	251	1
994	251	1
995	251	1
996	252	0
997	252	0
998	252	0
999	252	0
